_id,글램핑 내부시설,기타 부대시설,기타 정보,기타 주변이용가능시설,문의처,바닥형태 (단위:면),사이트 간격,사이트 크기,안전시설현황,예약방법,운영기간,운영일,주변이용가능시설,주소,주요시설,카라반 내부시설,캠프 이름,캠핑장 유형,캠핑장 환경,캠핑장비대여,홈페이지,화로대
1769,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-6401-7253,파쇄석 (25) 테크 (15),,,소화기 (10),,"봄,여름,가을",평일+주말,계곡물놀이,강원도양양군서면오색리85,일반야영장(40면),,솔밭야영장,일반야영장,/민간,,홈페이지바로가기새창으로,개별
1770,,"풋살장,농구대",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-8369-4152,파쇄석 (30),,6 X 8 : 30개,소화기 (15),전화,"봄,여름,가을",평일+주말,계곡물놀이,강원도횡성군공근면도곡리106-6,자동차야영장사이트(30면),,솔밭체육공원오토캠핑장,일반야영장,"숲,계곡/민간",,홈페이지바로가기새창으로,개별
1771,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,032-883-9215,,,,,온라인실시간예약,,,,인천옹진군영흥면영흥로708-26,,,솔밭캠핑장,일반야영장,산/민간,,홈페이지바로가기새창으로,
1773,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-584-3944,파쇄석 (50),,,소화기 (20),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,낚시,어린이놀이시설",경기가평군조종면운악청계로371번길58-34261-3,일반야영장(50면) 자동차야영장사이트(50면),,솔밭펜션캠핑장,자동차야영장,"산,숲,계곡/민간",화로대,,
1774,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-662-7575,010-4898-7947",자갈 (90),2M,"5 X 7 : 50개
4 X 7 : 40개",소화기 (9),,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",강원도강릉시연곡면삼산리929-1번지,일반야영장(60면) 자동차야영장사이트(30면),,솔봉계곡쉼터야영장,자동차야영장,계곡/민간,"릴선
화로대",홈페이지바로가기새창으로,개별
1776,,"바다사이트쪽은 카라반,트레일러 입장금지",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"055-854-0404,010-4955-0506",파쇄석 (30),3M,9 X 8 : 30개,"소화기 (20)
방화수 (1)",,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,강/물놀이,청소년체험시설",경남사천시서포면토끼로245-29,자동차야영장사이트(30면),,사천비토솔섬오토캠핑장,자동차야영장,"산,숲/민간","텐트
릴선
화로대
난방기구
식기
침낭",홈페이지바로가기새창으로,개별
1782,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-336-6206,,,,,전화,,,,강원도평창군봉평면흥정계곡2길75솔잎오토캠핑장,,,솔잎오토캠핑장,일반야영장,계곡/민간,,홈페이지바로가기새창으로,
1785,,펜션,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-421-5789,"파쇄석 (21)
테크 (9)",3M,5 X 6 : 9개,소화기 (15),,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,수상레저,낚시,어린이놀이시설",충청북도단양군천동4길10-7단양솔티천캠핑장,일반야영장(30면),,솔티야영장(단양솔티천캠핑&푸른솔펜션),일반야영장,"숲,계곡/민간","텐트
릴선
화로대
난방기구
식기
침낭",홈페이지바로가기새창으로,개별
1786,,주말운영. 7~8월 성수기와공휴일은  평일가능!,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-6480-2081,파쇄석 (45),5M,6 X 7 : 45개,소화기 (60),"전화,온라인예약대기,온라인실시간예약","봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,운동장,낚시,강/물놀이,수영장,어린이놀이시설",경기도포천시창수면전영로1023번길115오가리,자동차야영장사이트(45면),,송가네오가리캠핑장,일반야영장,"산,숲,강/민간","텐트
릴선
화로대
난방기구
식기
침낭",홈페이지바로가기새창으로,개별
1788,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,032-899-4888,잔디 (6) 파쇄석 (46) 테크 (16),,,소화기 (30),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,낚시,인천광역시연수구송도동인천신항대로892번길50,일반야영장(68면),,송도스포츠캠핑장,자동차야영장,해변/지자체,,홈페이지바로가기새창으로,개별
1789,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,041-675-5555,파쇄석 (19) 테크 (1),,,,"전화,현장","봄,여름,가을",평일+주말,"수상레저,낚시,수영장",충남태안군소원면모항항길106-22,일반야영장(20면),,송도오토캠핑장,일반야영장,해변/민간,,홈페이지바로가기새창으로,개별
1793,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-3415-3456,파쇄석 (160),,7 X 6 : 160개,소화기 (30),,"봄,여름,가을,겨울",평일+주말,"수상레저,낚시,해수욕",충남태안군소원면모항파도로398-42,자동차야영장사이트(160면),,어은돌송림캠핑장,일반야영장,해변/민간,"텐트
릴선
화로대",홈페이지바로가기새창으로,개별
1794,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-374-2948,테크 (22),,8 X 7 : 22개,소화기 (25),,"봄,가을,겨울",평일+주말,"계곡물놀이,산책로",경상남도양산시상북면외석리314,일반야영장(22면),,송백농원캠핑장,일반야영장,숲/민간,"텐트
릴선
화로대
식기
침낭",홈페이지바로가기새창으로,개별
1796,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-979-6066,테크 (73),3M,"3 X 4 : 72개
6 X 8 : 1개","소화기 (15)
방화수 (2)",온라인예약대기,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경상북도칠곡군석적면반계리산9-1,일반야영장(73면),,송정자연휴양림,일반야영장,산/지자체,,홈페이지바로가기새창으로,불가
1797,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-867-3414,맨흙 (14),,,"소화기 (4)
방화사 (5)",전화,"봄,여름,가을,겨울",평일+주말,"산책로,낚시,해수욕",경남남해군미조면미송로483,일반야영장(14면),,송정솔바람야영장,일반야영장,"해변,숲/지자체",,,개별
1802,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-681-5244,테크 (90),,3 X 4 : 90개,소화기 (22),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,해수욕,강원도고성군죽왕면동해대로6090송지호오토캠핑장,자동차야영장사이트(90면),,송지호오토캠핑장,자동차야영장,해변/지자체,,홈페이지바로가기새창으로,개별
1803,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (12) 테크 (16),,"5 X 7 : 20개
3 X 3 : 8개",소화기 (16),,"봄,여름,가을",평일+주말,"계곡물놀이,청소년체험시설,농어촌체험시설",강원도양양군서면송천리203-2,일반야영장(28면),,송천떡마을야영장,자동차야영장,계곡/민간,,홈페이지바로가기새창으로,개별
1807,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-740-3228,,,,,현장,,,,충청북도영동군양산면송호리299-1,,,송호리국민관광지야영장,자동차야영장,/지자체,,홈페이지바로가기새창으로,
1818,TV 냉장고 유무선인터넷,,반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"041-735-3369,010-5425-4729",,,,"소화기 (6)
화재감지기 (4)",,"봄,여름,가을",평일+주말,"계곡물놀이,산책로",충청남도논산시벌곡면수락리118-4,글램핑시설(4면),,수락베이스캠프,"일반야영장,글램핑","숲,계곡/민간",,홈페이지바로가기새창으로,개별
1820,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,043-878-2013,파쇄석 (25) 테크 (5),,,소화기 (30),온라인실시간예약,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",음성군생극면차곡리151,자동차야영장사이트(26면) 개인카라반사이트(4면),,수레의산국민여가캠핑장,일반야영장,산/국민여가,,홈페이지바로가기새창으로,개별
1825,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-535-2500,파쇄석 (43) 테크 (11),,"9 X 5 : 14개
7 X 5 : 4개
11 X 6 : 10개",소화기 (25),온라인실시간예약,"봄,여름,가을",평일+주말,"계곡물놀이,산책로",경기도포천시신북면금동리148,자동차야영장사이트(54면),,수목원프로방스캠핑장,일반야영장,"산,숲/민간",,홈페이지바로가기새창으로,개별
1827,"침대
TV
에어컨
냉장고
난방기구
취사도구","족구장,식당,펜션겸업",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-682-4279,010-4242-5131",테크 (30),,4 X 6 : 30개,소화기 (30),"전화,온라인실시간예약","봄,여름,가을,겨울",평일+주말,강/물놀이,강원도고성군건봉사로1504,자동차야영장사이트(30면) 글램핑시설(10면),,수목화송정마을오토캠핑장,"자동차야영장,글램핑",강/국립공원,,홈페이지바로가기새창으로,개별
1829,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-9972-2015,자갈 (30),,6 X 7 : 30개,소화기 (3),전화,"여름,가을",평일+주말,계곡물놀이,강원도양양군서면오색리3,일반야영장(30면),,수봉야영장,자동차야영장,계곡/민간,,,개별
1830,,어린이도서관,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (30),,,소화기 (15),온라인실시간예약,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,강/물놀이",경기도남양주시수동면철마산로316-31수산아카데미,자동차야영장사이트(30면),,수산아카데미,일반야영장,"산,숲,계곡/민간",,홈페이지바로가기새창으로,개별
1832,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-940-8530,,,9 X 8 : 15개,소화기 (7),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,계곡물놀이,경상남도거창군위천면은하리길2수승대관리사무소,자동차야영장사이트(15면),,수승대오토캠핑장,일반야영장,"산,계곡/지자체",,홈페이지바로가기새창으로,개별
1833,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-940-8530,테크 (84),,4 X 3 : 84개,소화기 (42),온라인실시간예약,"봄,여름,가을",평일+주말,계곡물놀이,경상남도거창군위천면강천리3,일반야영장(84면),,수승대야영장,일반야영장,"산,숲,계곡/지자체",,홈페이지바로가기새창으로,불가
1835,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"031-535-4308,010-4727-2301",파쇄석 (27),4M,8 X 9 : 40개,"소화기 (35)
방화수 (4)",,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,강/물놀이,농어촌체험시설",경기도포천시군내면직두리450번지,자동차야영장사이트(40면),,수원산오토캠핑장,일반야영장,"산,숲,계곡/민간",,홈페이지바로가기새창으로,개별
1838,,,반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,테크 (15),,,,,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,청소년체험시설",강원도홍천군서석면행치령로702,일반야영장(15면),,수하캠핑파크,자동차야영장,숲/지자체,,홈페이지바로가기새창으로,개별
1842,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-2722-8040,파쇄석 (6),,,소화기 (3),전화,여름,주말,계곡물놀이,강원도영월군무릉도원면법흥리97-2,일반야영장(6면),,수희재캠프,자동차야영장,계곡/민간,,,개별
1843,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,063-652-9288,잔디 (50),,,,현장,"봄,여름,가을,겨울",평일+주말,"산책로,강/물놀이,농어촌체험시설",전라북도순창군구림면구림로3-2순창향관광농원&오토캠핑장,자동차야영장사이트(50면),,순창향관광농원오토캠핑장,일반야영장,/민간,,,개별
1846,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구
취사도구
내부화장실",카페,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-740-8151,,,,"소화기 (32)
화재감지기 (32)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,전라남도순천시별량면오실길333-1,글램핑시설(16면),,순천승주CC글램핑,"일반야영장,글램핑","산,숲/민간",,홈페이지바로가기새창으로,
1849,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-749-8948,잔디 (4) 테크 (8),,"9 X 7 : 4개
9 X 8 : 7개
7 X 7 : 8개",소화기 (19),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"강/물놀이,수영장,농어촌체험시설",전라남도순천시서면청소년수련원길170순천국민여가캠핑장,자동차야영장사이트(19면),,순천국민여가캠핑장,일반야영장,"산,숲,계곡/국민여가",,홈페이지바로가기새창으로,불가
1853,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"033-332-6118,010-3910-6118",파쇄석 (12) 테크 (2),,8 X 8 : 14개,소화기 (10),,"봄,여름,가을,겨울",평일+주말,계곡물놀이,강원평창군방림면고원로1505-8,자동차야영장사이트(14면),,숲과개울오토캠핑장&펜션(숲과펜션야영장),일반야영장,계곡/민간,,홈페이지바로가기새창으로,개별
1854,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구",,반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4686-1799,,3M,,소화기 (21),온라인실시간예약,"봄,여름,가을,겨울",주말,산책로,충남천안시동남구북면위례성로1113,글램핑시설(21면),,숲들내캠핑장,"일반야영장,글램핑",숲/민간,,홈페이지바로가기새창으로,개별
1856,,"당나귀체험,숲속미니동물원",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (12),,6 X 8 : 12개,소화기 (10),,"봄,여름,가을,겨울",평일+주말,계곡물놀이,강원도홍천군홍천읍며느리고개길148-18,일반야영장(12면),,숲속동키마을캠핑장,자동차야영장,숲/민간,,홈페이지바로가기새창으로,개별
1857,,,개인 트레일러 입장가능           반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-854-2224,"파쇄석 (4)
테크 (4)
맨흙 (22)",3M,"4 X 6 : 20개
5 X 6 : 10개",소화기 (14) 방화수 (1),전화,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,해수욕,강/물놀이",경상남도사천시사남면계양리383-5,자동차야영장사이트(30면),,숲속가든캠핑장,일반야영장,"산,숲,계곡/민간","릴선
화로대",홈페이지바로가기새창으로,개별
1865,,"야외물놀이장, 온수물놀이장, 방방이, 탁구장, 실내오락실, 찜질방-무료, 미니짚라인",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"010-9178-6878,010-8799-4907","파쇄석 (19)
테크 (7)",4M,10 X 10 : 26개,소화기 (50) 화재감지기 (35),"전화,온라인실시간예약","봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,수영장,어린이놀이시설",경기도연천군전곡읍양원로268번길85숲속의쉼터,자동차야영장사이트(26면) 글램핑시설(28면),,숲속의쉼터,"일반야영장,글램핑","산,계곡/민간",,홈페이지바로가기새창으로,개별
1868,,"배움숲길, 동물농장, 체험교육장, 블루베리농장",개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-372-5955,"잔디 (11)
테크 (8)
자갈 (4)",,"4 X 5 : 7개
4 X 6 : 11개",소화기 (21),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"산책로,청소년체험시설",전라남도화순군북면백아로25-48,일반야영장(33면) 자동차야영장사이트(10면) 카라반(10면),,숲속의베리팜(구숲속의팜핑),일반야영장,"산,숲/민간",릴선,홈페이지바로가기새창으로,개별
1871,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,자갈 (9),,12 X 7 : 9개,소화기 (9),,"봄,여름,가을,겨울",평일+주말,산책로,경상북도봉화군물야면오록리842,일반야영장(9면),,숲속캠핑장,일반야영장,"산,숲/민간","릴선
화로대",홈페이지바로가기새창으로,개별
1875,,,반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),"반려견운동장, 수영장",010-9176-5252,,,,,전화,"봄,여름,가을,겨울",평일+주말,,경상북도문경시농암면율수리296-4,일반야영장(76면),,숲이조아오토캠핑장,일반야영장,"산,숲/민간",릴선,홈페이지바로가기새창으로,개별
1876,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,033-458-7200,잔디 (72) 테크 (18),,5 X 8 : 90개,소화기 (50),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로",강원도철원군김화읍청양리9-6쉬리마을,일반야영장(90면),,쉬리마을농어촌관광휴양단지야영장,일반야영장,강/민간,,홈페이지바로가기새창으로,개별
1878,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,041-672-5287,,,,,현장,,,,충청남도태안군이원면음포길133-6,,,쉼이있는자유,일반야영장,/민간,,,
1879,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,054-430-1110,,,,,전화,,,,경상북도김천시아포읍대성리273,,,쉼표캠핑장,일반야영장,/지자체,,홈페이지바로가기새창으로,
1885,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,1577-3829-,"파쇄석 (107)
테크 (13)",2M,"4 X 3 : 60개
6 X 8 : 60개","소화기 (30)
방화수 (1)
방화사 (1)",,"봄,여름,가을",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",충청북도제천시백운면운학길87스카이운학오토캠핑장,일반야영장(60면) 자동차야영장사이트(60면),,스카이운학오토캠핑장,"일반야영장,자동차야영장",계곡/민간,,홈페이지바로가기새창으로,개별
1887,침대 에어컨 냉장고 유무선인터넷 난방기구,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-4037-1999,,,,소화기 (10),전화,"봄,여름,가을",평일+주말,강/물놀이,경기도남양주시수동면지둔리246번지,글램핑시설(9면),,스카이글램핑,글램핑,숲/민간,,홈페이지바로가기새창으로,불가
1888,침대 TV 에어컨 냉장고,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,,,,"소화기 (14)
화재감지기 (14)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,낚시,어린이놀이시설",경북영천시청통면구정길53-77,글램핑시설(14면),,두드림캠핑장,"일반야영장,글램핑",숲/민간,,홈페이지바로가기새창으로,개별
1892,,,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-3757-9229,자갈 (24),,6 X 7 : 24개,소화기 (24),온라인실시간예약,"봄,여름,가을",평일+주말,강/물놀이,강원도홍천군남면남노일리234,일반야영장(24면),,스톤엑스캠핑장,일반야영장,강/민간,"릴선
화로대",홈페이지바로가기새창으로,개별
1893,"침대
TV
에어컨
냉장고
유무선인터넷
난방기구","미니농구대,족구장,배드민턴장",반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,파쇄석 (4),,,"소화기 (20)
화재감지기 (8)",온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,경기도양평군양평읍양근골안길17번길2-24,자동차야영장사이트(4면) 글램핑시설(8면),,스톤힐글램핑(stonehill),"일반야영장,글램핑",도심/민간,,홈페이지바로가기새창으로,개별
1898,,,개인 트레일러 입장가능           반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,,테크 (15),,,"소화기 (10)
화재감지기 (5)",전화,"봄,여름,가을",평일+주말,"해수욕,청소년체험시설",인천광역시옹진군자월면승봉리771-1,일반야영장(15면) 카라반(3면),"침대
에어컨
냉장고
유무선인터넷
난방기구",승봉도캠핑장,"자동차야영장,카라반",해변/지자체,,홈페이지바로가기새창으로,개별
1900,,펜션/족구장,개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"043-832-4883,010-5533-7821","잔디 (3)
파쇄석 (15)",,"12 X 11 : 9개
9 X 10 : 9개",소화기 (30) 방화사 (1),전화,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,운동장,낚시,강/물놀이,수영장,어린이놀이시설",충북괴산군칠성면연풍로쌍곡길75,일반야영장(18면),,시냇가캠핑장,일반야영장,숲/민간,"릴선
화로대
난방기구",홈페이지바로가기새창으로,개별
1903,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,061-275-1339,,,,,현장,여름,평일+주말,,전라남도신안군도초면오류리965-2,,,시목야영장,일반야영장,/국립공원,,홈페이지바로가기새창으로,개별
1911,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,010-9078-7652,,,,,전화,,,,강원도횡성군청일면신대리454,,,신대리야영장,자동차야영장,/지자체,,,
1916,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,052-254-2123,테크 (12),,,소화기 (12),,"봄,여름,가을,겨울",평일+주말,,울산광역시울주군상북면청수골길1753-1,일반야영장(12면),,신불산폭포자연휴양림,자동차야영장,"산,숲/지자체",,홈페이지바로가기새창으로,개별
1917,,,반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-769-0266,,,,,전화,,,,경기도광주시퇴촌면천진암로768,,,신선계곡야영장,일반야영장,/민간,,홈페이지바로가기새창으로,
1920,,화로대 : 가능(산불예방 기간 사용 제한),반려동물 동반 불가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,055-733-7845,테크 (37),,"5 X 6 : 5개
5 X 7 : 26개
7 X 7 : 5개",소화기 (18),온라인실시간예약,"봄,여름,가을,겨울",평일+주말,,경남김해시상동면장척로462번길140,일반야영장(37면),,신어산자연숲캠핑장,일반야영장,"산,숲/민간",화로대,홈페이지바로가기새창으로,불가
1925,,"카페,갤러리",개인 트레일러 입장가능           반려동물 동반 소형견만 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,031-775-7647,자갈 (30),,10 X 10 : 30개,소화기 (15),,"봄,여름,가을,겨울",평일+주말,"산책로,청소년체험시설",경기도양평군강상면강상로326신화가족목공체험캠핑소,일반야영장(30면),,신화가족목공체험캠핑소,자동차야영장,숲/민간,,홈페이지바로가기새창으로,개별
1930,,,반려동물 동반 가능           (※ 실제 결과는 현장사정 및 계절에 따라 달라질 수 있으니 캠핑장 사업주에 직접 확인 후 이용바랍니다.),,"041-751-9772,010-8800-3746",,,,,온라인실시간예약,"봄,여름,가을,겨울",평일+주말,"계곡물놀이,산책로,운동장,강/물놀이",충남금산군남일면신동길239-110,일반야영장(132면) 자동차야영장사이트(30면) 글램핑시설(5면) 카라반(3면),,한마음심천캠핑랜드,"일반야영장,자동차야영장,카라반,글램핑",숲/민간,,홈페이지바로가기새창으로,개별
